window,em_type,mean_in,mean_out,diff,IRR,perm_p
24h,Any_EM,2.605769230769231,1.7765957446808511,0.8291734860883797,1.4667204053431597,0.004299570042995701
24h,Solar,2.8627450980392157,1.904564315352697,0.9581807826865187,1.5030970994062114,0.0082991700829917
24h,Geomagnetic,4.2,1.99645390070922,2.2035460992907803,2.1037300177619893,0.0058994100589941
24h,Schumann,2.0434782608695654,2.0772357723577235,-0.03375751148815809,0.9837488300859356,0.9488051194880512
24h,Other,2.95,2.0073529411764706,0.9426470588235296,1.4695970695970697,0.0807919208079192
72h,Any_EM,2.5328947368421053,1.5714285714285714,0.9614661654135339,1.611842105263158,0.0006999300069993001
72h,Solar,2.7375,1.820754716981132,0.9167452830188678,1.5034974093264248,0.0034996500349965005
72h,Geomagnetic,3.7142857142857144,1.9892086330935252,1.7250770811921892,1.8672177731852235,0.008599140085991401
72h,Schumann,2.2,2.0276497695852536,0.17235023041474662,1.085,0.5847415258474152
72h,Other,3.081081081081081,1.9254901960784314,1.1555908850026497,1.6001541256123741,0.005699430056994301
